model,model_key,scenario,eval_mode,Task1_F1,Task1_P,Task1_R,Task2_cause_F1,Task2_effect_F1,Task2_macro_F1,Task2_macro_P,Task2_macro_R,Task3_F1,Task3_P,Task3_R,Total_Macro_F1,Total_Macro_P,Total_Macro_R
Llama 3 8B Instruct,llama3_8b,filtered_causal,coverage,0.7225806451612903,0.6885245901639344,0.7601809954751131,0.7737226277372262,0.8553719008264463,0.8145472642818363,0.8044632015980573,0.8251859504132232,0.6303854875283446,0.6376146788990825,0.6233183856502242,0.7225044656571571,0.7102008235536914,0.7362284438461867
Qwen3 8B,qwen3_8b,filtered_causal,coverage,0.7655913978494624,0.7295081967213115,0.8054298642533937,0.7718446601941747,0.8725701943844492,0.822207427289312,0.8385282706308035,0.8065431126723599,0.6804597701149425,0.7219512195121951,0.6434782608695652,0.7560861984179056,0.7633292289547701,0.7518170792651063
